game_name,trends_score,fetched_at
Marvel Rivals,6,2026-06-01 18:57:43
Path of Exile 2,0,2026-06-01 18:57:43
The Stone of Madness,0,2026-06-01 18:57:43
Hyper Light Drifter,0,2026-06-01 18:57:43
Hyper Light Breaker,0,2026-06-01 18:57:43
FREEDOM WARS Remastered,0,2026-06-01 18:57:43
DYNASTY WARRIORS: ORIGINS,2,2026-06-01 18:57:43
Palworld,2,2026-06-01 18:57:43
HELLDIVERS 2,6,2026-06-01 18:57:43
Black Myth: Wukong,2,2026-06-01 18:57:43
Orcs Must Die! Deathtrap,0,2026-06-01 18:57:43
Kingdom Come: Deliverance II,0,2026-06-01 18:57:43
Split Fiction,2,2026-06-01 18:57:43
Sid Meier's Civilization VII,0,2026-06-01 18:57:43
Monster Hunter Wilds,2,2026-06-01 18:57:43
Lost Records: Bloom & Rage,0,2026-06-01 18:57:43
The Legend of Heroes: Trails through Daybreak II,0,2026-06-01 18:57:43
Atomfall,0,2026-06-01 18:57:43
Wanderstop,0,2026-06-01 18:57:43
Schedule I,0,2026-06-01 18:57:43
R.E.P.O.,0,2026-06-01 18:57:43
inZOI,4,2026-06-01 18:57:43
Grimoire Groves,0,2026-06-01 18:57:43
Crashlands,0,2026-06-01 18:57:43
Crashlands 2,0,2026-06-01 18:57:43
Mandragora: Whispers of the Witch Tree,0,2026-06-01 18:57:43
Clair Obscur: Expedition 33,0,2026-06-01 18:57:43
Assassin's Creed Shadows,6,2026-06-01 18:57:43
Diddy Kong Racing,0,2026-06-01 18:57:43
Donkey Kong Country™ Returns HD,0,2026-06-01 18:57:43
"Yes, Your Grace: Snowfall",0,2026-06-01 18:57:43
Survival Machine,0,2026-06-01 18:57:43
RoadCraft,0,2026-06-01 18:57:43
The Precinct,0,2026-06-01 18:57:43
Elden Ring: Nightreign,2,2026-06-01 18:57:43
DOOM: The Dark Ages,0,2026-06-01 18:57:43
Deliver At All Costs,0,2026-06-01 18:57:43
Blue Prince,0,2026-06-01 18:57:43
Tinkerlands,0,2026-06-01 18:57:43
Stellar Blade,4,2026-06-01 18:57:43
Rematch,2,2026-06-01 18:57:43
JDM: Japanese Drift Master,0,2026-06-01 18:57:43
Gex Trilogy,0,2026-06-01 18:57:43
FBC: Firebreak,0,2026-06-01 18:57:43
Dune: Awakening,4,2026-06-01 18:57:43
Deltarune,4,2026-06-01 18:57:43
Crime Simulator,0,2026-06-01 18:57:43
The Alters,0,2026-06-01 18:57:43
Mario Kart World,20,2026-06-01 18:57:43
Neon Abyss 2,0,2026-06-01 18:57:43
The Drifter,0,2026-06-01 18:57:43
Wildgate,0,2026-06-01 18:57:43
Wuchang: Fallen Feathers,0,2026-06-01 18:57:43
Killing Floor 3,0,2026-06-01 18:57:43
Grounded 2,2,2026-06-01 18:57:43
Donkey Kong Bananza,4,2026-06-01 18:57:43
Metal Gear Solid Δ: Snake Eater,0,2026-06-01 18:57:43
Arena Breakout: Infinite,4,2026-06-01 18:57:43
Borderlands 4,13,2026-06-01 18:57:43
Hades II,0,2026-06-01 18:57:43
Dying Light: The Beast,2,2026-06-01 18:57:43
Hollow Knight Silksong,2,2026-06-01 18:57:43
Silent Hill f,8,2026-06-01 18:57:43
Mafia: The Old Country,0,2026-06-01 18:57:43
Cronos: The New Dawn,0,2026-06-01 18:57:43
Sword of the sea,0,2026-06-01 18:57:43
2XKO,0,2026-06-01 18:57:43
Battlefield 6,26,2026-06-01 18:57:43
Megabonk ,0,2026-06-01 18:57:43
Little Nightmares 3,0,2026-06-01 18:57:43
Stick it to the Stickman,0,2026-06-01 18:57:43
EA SPORTS FC 26,6,2026-06-01 18:57:43
Ghost of Yotei,2,2026-06-01 18:57:43
Vampire: The Masquerade - Bloodlines 2,0,2026-06-01 18:57:43
ARC Raiders,2,2026-06-01 18:57:43
The Outer Worlds 2,0,2026-06-01 18:57:43
Escape from Duckov,0,2026-06-01 18:57:43
Ninja Gaiden 4,2,2026-06-01 18:57:43
Pokemon Legends: Z-A,0,2026-06-01 18:57:43
Jurassic World Evolution 3,0,2026-06-01 18:57:43
Europa Universalis V,0,2026-06-01 18:57:43
7 Days of Blood Moons,0,2026-06-01 18:57:43
Dispatch ,2,2026-06-01 18:57:43
Death Stranding 2,2,2026-06-01 18:57:43
South of Midnight,0,2026-06-01 18:57:43
Sonic Racing: CrossWorlds,2,2026-06-01 18:57:43
Peak,8,2026-06-01 18:57:43
Indiana Jones and the Great Circle,0,2026-06-01 18:57:43
F1 25,2,2026-06-01 18:57:43
Escape from Tarkov,6,2026-06-01 18:57:43
BALL x PIT,0,2026-06-01 18:57:43
Avowed,0,2026-06-01 18:57:43
Absolum,0,2026-06-01 18:57:43
Routine,0,2026-06-01 18:57:43
Terra Invicta,0,2026-06-01 18:57:43
StarRupture,0,2026-06-01 18:57:43
Nioh 3,0,2026-06-01 18:57:43
Mewgenics,2,2026-06-01 18:57:43
Cairn,0,2026-06-01 18:57:43
ReAnimal,2,2026-06-01 18:57:43
High on life 2,0,2026-06-01 18:57:43
