game_name,trends_score,fetched_at
Resident Evil Requiem,25,2026-04-21 21:28:53
Slay the Spire 2,31,2026-04-21 21:35:23
Crimson Desert,26,2026-04-21 21:35:23
John Carpenter's Toxic Commando,0,2026-04-21 21:35:23
SAND: Raiders of Sophie,0,2026-04-21 21:35:23
StarRupture,19,2026-04-21 21:35:23
MONSTER HUNTER STORIES 3: TWISTED REFLECTION,0,2026-04-21 21:35:23
Quarantine Zone: The Last Check,0,2026-04-21 21:35:23
Everwind,7,2026-04-21 21:35:23
MOUSE: P.I. For Hire,57,2026-04-21 21:35:23
REPLACED,43,2026-04-21 21:35:23
FATAL FRAME II: Crimson Butterfly REMAKE,0,2026-04-21 21:35:23
Fate Trigger,0,2026-04-21 21:35:23
007 First Light,74,2026-04-21 21:35:23
Solasta II,0,2026-04-21 21:35:23
Last Man Sitting,0,2026-04-21 21:35:23
Star Trek: Voyager - Across the Unknown,0,2026-04-21 21:35:23
Nova Roma,0,2026-04-21 21:35:23
The Seven Deadly Sins: Origin,15,2026-04-21 21:35:23
Glory To The Heroes?,0,2026-04-21 21:35:23
PARANORMASIGHT: The Mermaid's Curse,0,2026-04-21 21:35:23
Esoteric Ebb,30,2026-04-21 21:35:23
Mongil: Star Dive,9,2026-04-23 21:54:08
Forza Horizon 6,45,2026-04-23 21:54:08
Tomodachi Life: Living the Dream,56,2026-04-23 21:54:08
Neverness to Everness,67,2026-04-23 21:54:08
Albion Online,67,2026-04-23 21:54:08
Anemoi,100,2026-04-23 21:54:08
Saros,84,2026-04-23 21:54:08
Cat From Hell: Cat Simulator,0,2026-04-23 21:54:08
Directive 8020,52,2026-04-23 21:54:08
Whisper of the House,0,2026-04-23 21:54:08
Dimension Totsu Lovers!!,0,2026-04-23 21:54:08
Shinigami Hime to Ishokan no Kaibutsu,0,2026-04-23 21:54:08
R-Type Dimensions III,0,2026-04-23 21:54:08
Ereban: Shadow Legacy,0,2026-04-23 21:54:08
Unrailed 2: Back on Track,0,2026-04-23 21:54:08
Karakoi Invitation,0,2026-04-23 21:54:08
Kill it with Fire 2,0,2026-04-23 21:54:08
5omeday,0,2026-04-23 21:54:08
Death by Scrolling,0,2026-04-23 21:54:08
Starward,40,2026-04-23 21:54:08
Spy Drops,0,2026-04-23 21:54:08
Dark Light,46,2026-04-23 21:54:08
Decline's Drops,0,2026-04-23 21:54:08
Picross S Konami Antiques Edition,0,2026-04-23 21:54:08
Perennial Dusk: Kinsenka,0,2026-04-23 21:54:08
TetherGeist,0,2026-04-23 21:54:08
Matsurika no Kei: Tenmei Kashokuden,0,2026-04-23 21:54:08
Mullet Madjack,0,2026-04-23 21:54:08
Without a Dawn,0,2026-04-23 21:54:08
Lunar Strike,0,2026-04-23 21:54:08
Dark Hours,51,2026-04-23 21:54:08
The End of the Sun,0,2026-04-23 21:54:08
Shadows of the Afterland,0,2026-04-23 21:54:08
Decollate Decoration,0,2026-04-23 21:54:08
Dialoop,100,2026-04-23 21:54:08
Solstice Chronicles: MIA,0,2026-04-23 21:54:08
Planet Lust,100,2026-04-23 21:54:08
Quartet,38,2026-04-23 21:54:08
Dragon Is Dead,24,2026-04-23 21:54:08
Until Then,24,2026-04-23 21:54:08
Find My Frogs,0,2026-04-23 21:54:08
Cthuloot,0,2026-04-23 21:54:08
Horticular,0,2026-04-23 21:54:08
Hydroneer,58,2026-04-23 21:54:08
Kitchen Wars,0,2026-04-23 21:54:08
Duck Side of the Moon,0,2026-04-23 21:54:08
Motorslice,100,2026-04-23 21:54:08
Reptilian Rising,0,2026-04-23 21:54:08
GladiMaker,0,2026-04-23 21:54:08
Inhuman Resources: A Literary Machination,0,2026-04-23 21:54:08
Lost Twins 2,0,2026-04-23 21:54:08
The Caribou Trail,0,2026-04-23 21:54:08
