Game Name,App ID,Peak CCU,Peak CCU Numeric,Avg Playtime (2wk hrs),fetched_at
Marvel Rivals,2767030,"106,611",106611,10.1,2026-04-16 21:29
Path of Exile 2,2694490,"16,727",16727,15.2,2026-04-16 21:29
The Stone of Madness,1309710,1,1,N/A,2026-04-16 21:29
Hyper Light Drifter,257850,44,44,N/A,2026-04-16 21:29
Hyper Light Breaker,1534840,31,31,N/A,2026-04-16 21:29
FREEDOM WARS Remastered,3004100,8,8,N/A,2026-04-16 21:29
DYNASTY WARRIORS: ORIGINS,2384580,"1,314",1314,8.8,2026-04-16 21:29
Palworld,1623730,"18,028",18028,19.4,2026-04-16 21:29
HELLDIVERS 2,553850,"53,399",53399,8.3,2026-04-16 21:29
Black Myth: Wukong,2358720,"15,004",15004,3.8,2026-04-16 21:29
Orcs Must Die! Deathtrap,2273980,201,201,N/A,2026-04-16 21:29
Kingdom Come: Deliverance II,1771300,"7,073",7073,13.2,2026-04-16 21:29
Split Fiction,2001120,"5,476",5476,3.8,2026-04-16 21:29
Sid Meier's Civilization VII,1295660,"5,931",5931,13.1,2026-04-16 21:29
Monster Hunter Wilds,2246340,"12,494",12494,8.2,2026-04-16 21:29
Lost Records: Bloom & Rage,1902960,107,107,2.7,2026-04-16 21:29
The Legend of Heroes: Trails through Daybreak II,2668430,103,103,N/A,2026-04-16 21:29
Atomfall,801800,287,287,N/A,2026-04-16 21:29
Wanderstop,1299460,38,38,N/A,2026-04-16 21:29
Schedule I,3164500,"22,757",22757,5.8,2026-04-16 21:29
R.E.P.O.,3241660,"32,349",32349,3.6,2026-04-16 21:29
inZOI,2456740,"1,039",1039,4.9,2026-04-16 21:29
Grimoire Groves,1830430,17,17,N/A,2026-04-16 21:29
Crashlands,391730,96,96,N/A,2026-04-16 21:29
Crashlands 2,1401730,81,81,4.5,2026-04-16 21:29
Mandragora: Whispers of the Witch Tree,1721060,71,71,N/A,2026-04-16 21:29
Clair Obscur: Expedition 33,1903340,"27,880",27880,11.5,2026-04-16 21:29
Assassin's Creed Shadows,3159330,0,0,15.4,2026-04-16 21:29
Diddy Kong Racing,N/A,N/A,0,N/A,2026-04-16 21:29
Donkey Kong Country™ Returns HD,N/A,N/A,0,N/A,2026-04-16 21:29
"Yes, Your Grace: Snowfall",1373090,48,48,N/A,2026-04-16 21:29
Survival Machine,1601330,37,37,N/A,2026-04-16 21:29
RoadCraft,2104890,"8,156",8156,17.5,2026-04-16 21:29
The Precinct,490110,553,553,1.5,2026-04-16 21:29
Elden Ring: Nightreign,2622380,"163,599",163599,9.4,2026-04-16 21:29
DOOM: The Dark Ages,3017860,"3,518",3518,2.4,2026-04-16 21:29
Deliver At All Costs,1880610,62,62,N/A,2026-04-16 21:29
Blue Prince,1569580,"4,395",4395,4.3,2026-04-16 21:29
Tinkerlands,2617700,"1,543",1543,N/A,2026-04-16 21:29
Stellar Blade,3489700,0,0,29.7,2026-04-16 21:29
Rematch,2067680,0,0,N/A,2026-04-16 21:29
JDM: Japanese Drift Master,1153410,574,574,1.4,2026-04-16 21:29
Gex Trilogy,3183970,0,0,N/A,2026-04-16 21:29
FBC: Firebreak,2272540,0,0,N/A,2026-04-16 21:29
Dune: Awakening,1172710,0,0,17.9,2026-04-16 21:29
Deltarune,1671210,"83,936",83936,6.4,2026-04-16 21:29
Crime Simulator,2737070,0,0,4.7,2026-04-16 21:29
The Alters,1601570,0,0,3.0,2026-04-16 21:29
Mario Kart World,N/A,N/A,0,N/A,2026-04-16 21:29
Neon Abyss 2,2235200,0,0,N/A,2026-04-16 21:29
The Drifter,1170570,0,0,0.5,2026-04-16 21:29
Wildgate,3504780,0,0,N/A,2026-04-16 21:29
Wuchang: Fallen Feathers,2277560,0,0,15.4,2026-04-16 21:29
Killing Floor 3,1430190,0,0,9.0,2026-04-16 21:29
Grounded 2,2661300,0,0,12.1,2026-04-16 21:29
Donkey Kong Bananza,N/A,N/A,0,N/A,2026-04-16 21:29
Metal Gear Solid Δ: Snake Eater,2417610,0,0,1.6,2026-04-16 21:29
Arena Breakout: Infinite,2073620,0,0,20.8,2026-04-16 21:29
Borderlands 4,1285190,0,0,9.6,2026-04-16 21:29
Hades II,1145350,"1,838",1838,7.5,2026-04-16 21:29
Dying Light: The Beast,3008130,0,0,8.7,2026-04-16 21:29
Hollow Knight Silksong,1030300,0,0,5.4,2026-04-16 21:29
Silent Hill f,2947440,0,0,1.1,2026-04-16 21:29
Mafia: The Old Country,1941540,0,0,N/A,2026-04-16 21:29
Cronos: The New Dawn,2101960,0,0,N/A,2026-04-16 21:29
Sword of the sea,2453160,0,0,N/A,2026-04-16 21:29
2XKO,N/A,N/A,0,N/A,2026-04-16 21:29
Battlefield 6,2807960,0,0,7.5,2026-04-16 21:29
Megabonk ,3405340,0,0,5.2,2026-04-16 21:29
Little Nightmares 3,1392860,0,0,1.3,2026-04-16 21:29
Stick it to the Stickman,2085540,0,0,3.1,2026-04-16 21:29
EA SPORTS FC 26,3405690,0,0,12.3,2026-04-16 21:29
Ghost of Yotei,N/A,N/A,0,N/A,2026-04-16 21:29
Vampire: The Masquerade - Bloodlines 2,532790,0,0,1.5,2026-04-16 21:29
ARC Raiders,1808500,0,0,12.8,2026-04-16 21:29
The Outer Worlds 2,1449110,0,0,7.9,2026-04-16 21:29
Escape from Duckov,3167020,0,0,4.0,2026-04-16 21:29
Ninja Gaiden 4,2627260,0,0,8.1,2026-04-16 21:29
Pokemon Legends: Z-A,N/A,N/A,0,N/A,2026-04-16 21:29
Jurassic World Evolution 3,2958130,0,0,7.3,2026-04-16 21:29
Europa Universalis V,3450310,0,0,10.4,2026-04-16 21:29
7 Days of Blood Moons,N/A,N/A,0,N/A,2026-04-16 21:29
Dispatch ,2592160,0,0,6.0,2026-04-16 21:29
Death Stranding 2,3280350,0,0,24.3,2026-04-16 21:29
South of Midnight,1934570,82,82,1.4,2026-04-16 21:29
Sonic Racing: CrossWorlds,2486820,0,0,8.2,2026-04-16 21:29
Peak,923260,5,5,N/A,2026-04-16 21:29
Indiana Jones and the Great Circle,2677660,274,274,N/A,2026-04-16 21:29
F1 25,3059520,"5,272",5272,5.6,2026-04-16 21:29
Escape from Tarkov,3932890,0,0,12.5,2026-04-16 21:29
BALL x PIT,2062430,0,0,5.1,2026-04-16 21:29
Avowed,2457220,157,157,N/A,2026-04-16 21:29
Absolum,1904480,0,0,13.2,2026-04-16 21:29
Routine,3402170,0,0,N/A,2026-04-16 21:29
Terra Invicta,1176470,697,697,0.4,2026-04-16 21:29
StarRupture,1631270,0,0,8.0,2026-04-16 21:29
Nioh 3,3681010,0,0,9.2,2026-04-16 21:29
Mewgenics,686060,0,0,9.6,2026-04-16 21:29
Cairn,1588550,0,0,3.1,2026-04-16 21:29
ReAnimal,2129530,0,0,2.6,2026-04-16 21:29
High on life 2,2069250,0,0,N/A,2026-04-16 21:29
