Game Title,Category,Release Date,Developers,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus,date_appended
The Legend of Heroes: Trails Beyond the Horizon,Main Game,2026-01-15,Nihon Falcom,"NIS America, Clouded Leopard Entertainment Inc., Nihon Falcom","PlayStation 4, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Role-playing (RPG), Turn-based strategy (TBS), Adventure","Action, Fantasy, Science fiction",,https://www.youtube.com/watch?v=jQELYrJXO-A,47623.0,1555.0,2025-07-24,PC Game (on Steam),
Kejora,Main Game,2026-01-15,Berangin Creative,Berangin Creative,"PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Platform, Puzzle, Adventure, Indie",Action,"hand-drawn, nextfest february 2025",https://www.youtube.com/watch?v=fX6JQYyuFX0,975.0,15.0,2026-01-15,Console / Other,
Ghostly Whiskers,Main Game,2026-01-15,,Nostra Games,"PlayStation 4, PlayStation 5","Puzzle, Adventure",,,No YouTube video found,,,,Console / Other,
Dreamscapes: Nightmare's Heir,Main Game,2026-01-15,,Joindots GmbH,"PlayStation 4, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Puzzle, Strategy, Adventure, Arcade",Horror,"female protagonist, hidden object, steam, achievements, digital distribution, single-player only, steam cloud, voice acting",No YouTube video found,,,,Console / Other,
BrokenLore: Unfollow,Main Game,2026-01-16,Serafini Productions,"Serafini Productions, Shochiku","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Adventure,"Action, Horror, Thriller",,https://www.youtube.com/watch?v=0mWW1YMm2xc,112.0,8.0,2025-12-14,PC Game (on Steam),
Apartment No 129,Main Game,2026-01-16,Latif Güngör,Batuhan Gündüz,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Adventure, Indie","Action, Horror",,https://www.youtube.com/watch?v=qR_Zl2hVLSA,36385.0,1449.0,2025-12-24,Console / Other,
Sumorbit,Main Game,2026-01-18,Jett Williams,,"Xbox Series X|S, PlayStation 4, Linux, PC (Microsoft Windows), PlayStation 5, Mac, Xbox One, Nintendo Switch","Fighting, Puzzle, Indie","Action, Party",,https://www.youtube.com/watch?v=-eYlGgY5tcE,545.0,25.0,2024-10-24,Console / Other,
Loan Shark,Main Game,2026-01-18,Studio Carota,"Studio Carota, Dark Product","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Simulator, Adventure, Indie","Horror, Thriller, Mystery","bloody, psychological horror, underwater, surrealism, dark, magic, 3d, shark, fishing, achievements, gore, short, narration, atmospheric, surreal, dark humor, talking animals, story rich, italy, surreal horror, no jumping, choices matter, steam achievements, xbox controller support for pc, steam cloud, dualshock 4 support for pc, underwater gameplay, jump scare moment, in-game radio, suicide, text dialogue, fisherman, controller support, short game, single ending, bad endings with story, body horror, linear, beer, ocean, fish, moon, steam families, money, boat, cloud saves, dualsense support for pc, alcohol, italia, subtitles, save anytime, adjustable text size, playable without timed input, stereo sound, custom volume controls",https://www.youtube.com/watch?v=Yo-LQMkTbB4,108.0,1.0,2025-05-31,Console / Other,
Bomboban,Main Game,2026-01-19,2dragontails,"2dragontails, y-zo studio","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One",Puzzle,,sokoban,https://www.youtube.com/watch?v=hd2I8_lSf4A,15.0,2.0,2026-01-18,Console / Other,
Mio: Memories in Orbit,Main Game,2026-01-20,Douze Dixièmes,Focus Entertainment,"Xbox Series X|S, PlayStation 4, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Platform, Adventure, Indie","Action, Science fiction","metroidvania, androids, nextfest june 2025",https://www.youtube.com/watch?v=cafPCloPgtc,37896.0,702.0,2026-01-20,PC Game (on Steam),
2XKO,Main Game,2026-01-20,Riot Games,Riot Games,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Fighting,Action,,https://www.youtube.com/watch?v=J9YltcB9LyM,75429.0,4064.0,2026-01-06,Non-Steam PC Game,
Warlander,Main Game,2026-01-20,Toylogic,"PLAION, Toylogic","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Shooter, Tactical, Hack and slash/Beat 'em up, MOBA","Action, Fantasy, Warfare","medieval, magic, competitive, pvp, swordplay, war, free-to-play, online multiplayer, siege warfare",No YouTube video found,,,,Non-Steam PC Game,
Hextreme Void,Main Game,2026-01-20,Double Mizzlee,Eastasiasoft,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Puzzle, Strategy",Action,,No YouTube video found,,,,Non-Steam PC Game,
A House That Glows,Main Game,2026-01-20,Webnetic s. r. o.,Webnetic s. r. o.,"PlayStation 4, PlayStation 5",Visual Novel,,,No YouTube video found,,,,Console / Other,
Anime Uni,Main Game,2026-01-20,BIG WAY,BIG WAY,"PlayStation 4, PlayStation 5, Nintendo Switch",Puzzle,Erotic,,No YouTube video found,,,,Console / Other,
City of Hunger,Main Game,2026-01-21,MVCAO Studios,MVCAO Studios,"SteamVR, PlayStation 5",Shooter,"Action, Horror",zombie shooter,No YouTube video found,,,,Console / Other,
Arknights: Endfield,Main Game,2026-01-22,Hypergryph,Gryphline,"Android, PC (Microsoft Windows), iOS, PlayStation 5","Role-playing (RPG), Strategy, Adventure","Action, Science fiction, Open world","base building, free-to-play, resource gathering, real-time combat, alien world, semi open world",https://www.youtube.com/watch?v=5Xm45NwWOlo,16731779.0,28192.0,2025-12-12,Non-Steam PC Game,
Sega Football Club Champions,Main Game,2026-01-22,Sega,Sega,"PlayStation 4, Android, PC (Microsoft Windows), iOS, PlayStation 5","Simulator, Sport",,"soccer, football, management, cross-platform multiplayer, free-to-play, controller support",https://www.youtube.com/watch?v=biY-hVO7sEE,9739.0,55.0,2025-11-12,PC Game (on Steam),
Mage Wars,Main Game,2026-01-22,Nostra Games,Nostra Games,PlayStation 5,Shooter,Fantasy,voice activated,No YouTube video found,,,,Console / Other,
Stellar Strider,Main Game,2026-01-22,RainForest Games,"y-zo studio, RainForest Games","Xbox Series X|S, PlayStation 4, PlayStation 5",Platform,Kids,,https://www.youtube.com/watch?v=WROE3tip6A4,23.0,2.0,2026-01-21,Console / Other,
Cowboys,Main Game,2026-01-22,Maria,Phoenix Reborn Games,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One",Shooter,Action,,No YouTube video found,,,,Console / Other,
Ho Ho & Move,Main Game,2026-01-22,,,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Puzzle, Adventure",Educational,,No YouTube video found,,,,Non-Steam PC Game,
Escape from Ever After,Main Game,2026-01-23,Sleepy Castle Studio,HypeTrain Digital,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Role-playing (RPG), Adventure, Indie",,,https://www.youtube.com/watch?v=koAL6QeFQqc,2001.0,55.0,2025-11-22,PC Game (on Steam),
Ebola Village,Main Game,2026-01-23,indie_games_studio,"indie_games_studio, Axyos Games","PlayStation 4, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Shooter, Puzzle, Adventure, Indie","Action, Horror, Survival",,https://www.youtube.com/watch?v=VI0HZ-3mo6w,3787.0,29.0,2023-06-11,Console / Other,
Block Cascade,Main Game,2026-01-23,,Webnetic s. r. o.,"PlayStation 4, PlayStation 5",Puzzle,,,No YouTube video found,,,,Console / Other,
Guts 'n Grunts Jr.,Main Game,2026-01-23,Cascadia Games LLC,Cascadia Games LLC,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch",Platform,Action,,No YouTube video found,,,,Non-Steam PC Game,
A Cafe at the End of the World,Main Game,2026-01-23,,,PlayStation 5,Visual Novel,,,No YouTube video found,,,,Console / Other,
Crazy Cats Survivors,Main Game,2026-01-25,,Xeneder Team,"PlayStation 4, PlayStation 5",Shooter,"Action, Fantasy","bullet hell, roguelite",No YouTube video found,,,,Console / Other,
Code Vein II,Main Game,2026-01-26,"Bandai Namco Studios, Shift",Bandai Namco Entertainment,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Role-playing (RPG),Action,"post-apocalyptic, character customization",https://www.youtube.com/watch?v=uF6xLKM-zwg,6236.0,284.0,2026-01-26,PC Game (on Steam),
Highguard,Main Game,2026-01-26,Wildlight Entertainment,Wildlight Entertainment,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Shooter,"Action, Fantasy","accessibility options, subtitles, adjustable text size, custom volume controls, surround sound, stero sound",https://www.youtube.com/watch?v=gqFccBZyTaA,25386.0,418.0,2026-01-26,PC Game (on Steam),
Deep Combat,Main Game,2026-01-26,Magnific Studios,"y-zo studio, Magnific Studios","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One","Shooter, Platform","Action, Science fiction, Warfare",ai-generated artwork,https://www.youtube.com/watch?v=TONn04W_su8,32.0,4.0,2026-01-26,Console / Other,
Speedball,Main Game,2026-01-27,Rebellion Developments,Rebellion Developments,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Sport, Arcade",Action,,https://www.youtube.com/watch?v=CiFz0KJS9t8,12127.0,190.0,2024-10-30,PC Game (on Steam),
Ultimate Sheep Raccoon,Main Game,2026-01-27,Clever Endeavour Games,Clever Endeavour Games,"Xbox Series X|S, PlayStation 4, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Racing, Indie","Action, Party",,https://www.youtube.com/watch?v=30uL2cMD_MY,37068.0,1231.0,2025-12-09,Console / Other,
Bus Simulator: World Tour,Main Game,2026-01-27,,,"PlayStation 4, PlayStation 5",Simulator,,,No YouTube video found,,,,Console / Other,
Vironics,Main Game,2026-01-27,Dragon Flame Games,Dragon Flame Games,"PC (Microsoft Windows), PlayStation 5",Shooter,Action,,No YouTube video found,,,,Console / Other,
Dorkomon,Main Game,2026-01-27,EpiXR Games,EpiXR Games,PlayStation 5,"Shooter, Adventure",Action,,No YouTube video found,,,,Console / Other,
Core Keeper: Void & Voltage,Unknown,2026-01-28,Pugstorm,Fireshine Games,"Xbox Series X|S, PlayStation 4, Linux, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Role-playing (RPG), Simulator, Adventure, Indie",Action,"steam cloud, steam families",https://www.youtube.com/watch?v=odARerNhDZU,97504.0,3025.0,2025-11-29,Console / Other,
Dusk Index: Gion,Main Game,2026-01-29,Cherrymochi,Bushiroad Games,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Adventure, Visual Novel","Thriller, Drama",suspense,https://www.youtube.com/watch?v=6T2fifsjRzA,1868.0,52.0,2025-01-14,Console / Other,
Dark Auction,Main Game,2026-01-29,IzanagiGames,"IzanagiGames, Good Smile Company","PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Adventure,Mystery,,No YouTube video found,,,,Console / Other,
