date,Action,Fighting,Shooter,Platformer,Hack and slash/Beat 'em up,Adventure,Visual Novel,Point-and-Click,Tactical,Role-playing (RPG),Simulator,Strategy,MOBA,Real Time Strategy (RTS),Turn-Based Strategy,Casual,Massively Multiplayer (MMO),Sport,Racing,Pinball,Arcade,Card & Board Game,Music,Puzzle,Quiz/Trivia
AVERAGE_12M,358.844716981132,50.69679245283019,44.57075471698112,1.6494339622641507,0.0,112.70849056603772,2.439622641509434,0.0,27.358679245283014,0.0,122.80792452830187,100.57207547169808,2.852075471698113,0.0,0.0,76.52113207547168,0.0,604.9122641509433,185.77867924528306,7.247169811320755,45.56905660377358,0.0,858.0849056603773,95.7622641509434,0.0
2025-02-23 00:00:00,319.38,48.12,30.62,0.0,0.0,99.62,1.35,0.0,21.39,0.0,122.5,66.11,2.92,0.0,0.0,52.5,0.0,560.0,175.0,7.0,46.67,0.0,816.67,93.33,0.0
2025-03-02 00:00:00,314.5,46.75,29.75,0.0,0.0,103.36,1.36,0.0,22.67,0.0,117.11,64.22,2.83,0.0,0.0,53.83,0.0,557.6,142.8,6.8,45.33,0.0,804.67,90.67,0.0
2025-03-09 00:00:00,306.0,46.75,29.75,0.0,0.0,100.69,1.31,0.0,20.78,0.0,113.33,62.33,2.83,0.0,0.0,56.67,0.0,537.2,149.6,6.8,45.33,0.0,838.67,79.33,0.0
2025-03-16 00:00:00,345.62,48.12,30.62,0.0,0.0,107.69,1.35,0.0,23.33,0.0,124.44,66.11,2.92,0.0,0.0,58.33,0.0,546.0,161.0,7.0,46.67,0.0,851.67,93.33,0.0
2025-03-23 00:00:00,327.25,46.75,29.75,0.0,0.0,98.08,1.31,0.0,22.67,0.0,113.33,66.11,2.83,0.0,0.0,56.67,0.0,550.8,156.4,6.8,45.33,0.0,816.0,79.33,0.0
2025-03-30 00:00:00,358.75,52.5,30.62,0.0,0.0,106.35,1.35,0.0,23.33,0.0,114.72,66.11,2.92,0.0,0.0,61.25,0.0,560.0,182.0,7.0,46.67,0.0,875.0,93.33,0.0
2025-04-06 00:00:00,370.0,45.22,24.67,0.0,0.0,107.04,1.32,0.0,21.42,0.0,122.68,64.26,2.85,0.0,0.0,56.92,0.0,614.2,185.0,7.4,37.0,0.0,675.25,64.75,0.0
2025-04-13 00:00:00,341.22,45.22,69.89,0.0,0.0,113.74,1.37,0.0,21.42,0.0,130.47,60.37,2.85,0.0,0.0,56.92,0.0,643.8,162.8,7.4,49.33,0.0,826.33,86.33,0.0
2025-04-20 00:00:00,312.44,49.33,28.78,0.0,0.0,104.39,1.32,0.0,23.37,0.0,122.68,64.26,2.85,0.0,0.0,59.77,0.0,599.4,199.8,7.4,37.0,0.0,647.5,74.0,0.0
2025-04-27 00:00:00,333.56,50.67,25.33,0.0,0.0,104.5,1.36,0.0,22.8,0.0,108.3,66.5,2.92,0.0,0.0,67.23,0.0,638.4,205.2,7.6,38.0,0.0,712.5,76.0,0.0
2025-05-04 00:00:00,336.88,52.5,26.25,0.0,0.0,96.92,1.35,0.0,23.33,0.0,110.83,66.11,2.92,0.0,0.0,64.17,0.0,539.0,168.0,7.0,46.67,0.0,840.0,81.67,0.0
2025-05-11 00:00:00,300.0,48.0,24.0,0.0,0.0,98.67,1.33,0.0,22.74,0.0,106.11,60.63,2.77,0.0,0.0,60.92,0.0,612.0,201.6,7.2,48.0,0.0,912.0,84.0,0.0
2025-05-18 00:00:00,332.5,48.12,30.62,0.0,0.0,107.69,1.35,0.0,21.39,0.0,110.83,62.22,2.92,0.0,0.0,61.25,0.0,546.0,140.0,7.0,46.67,0.0,863.33,81.67,0.0
2025-05-25 00:00:00,332.5,43.75,26.25,0.0,0.0,105.0,1.35,0.0,23.33,0.0,106.94,58.33,2.92,0.0,0.0,55.42,0.0,525.0,182.0,7.0,46.67,0.0,816.67,93.33,0.0
2025-06-01 00:00:00,333.0,49.33,24.67,0.0,0.0,109.63,1.37,0.0,23.37,0.0,118.79,66.21,2.85,0.0,0.0,62.62,0.0,562.4,162.8,7.4,37.0,0.0,666.0,74.0,0.0
2025-06-08 00:00:00,349.44,45.22,28.78,0.0,0.0,104.39,1.32,0.0,25.32,0.0,118.79,74.0,2.85,0.0,0.0,59.77,0.0,555.0,162.8,7.4,37.0,0.0,656.75,74.0,0.0
2025-06-15 00:00:00,344.0,44.0,36.0,0.0,0.0,108.0,1.33,0.0,24.63,0.0,123.16,73.89,2.77,0.0,0.0,60.92,0.0,511.2,151.2,7.2,48.0,0.0,852.0,96.0,0.0
2025-06-22 00:00:00,333.0,49.33,28.78,0.0,0.0,111.0,1.32,0.0,25.32,0.0,118.79,72.05,2.85,0.0,0.0,62.62,0.0,518.0,140.6,7.4,37.0,0.0,684.5,64.75,0.0
2025-06-29 00:00:00,337.78,46.44,38.0,0.0,0.0,108.57,1.36,0.0,22.8,0.0,108.3,64.6,2.92,0.0,0.0,58.46,0.0,570.0,167.2,7.6,38.0,0.0,703.0,66.5,0.0
2025-07-06 00:00:00,320.67,41.11,24.67,0.0,0.0,112.32,1.32,0.0,23.37,0.0,114.89,75.95,2.85,0.0,0.0,59.77,0.0,562.4,155.4,7.4,37.0,0.0,638.25,64.75,0.0
2025-07-13 00:00:00,331.8,42.0,29.4,0.0,0.0,117.87,1.35,0.0,22.91,0.0,116.45,80.18,2.8,0.0,0.0,61.6,0.0,539.0,147.0,7.0,42.0,0.0,766.5,73.5,0.0
2025-07-20 00:00:00,314.42,44.92,28.58,0.0,0.0,122.5,2.72,0.0,25.48,0.0,113.68,80.36,2.88,0.0,0.0,66.29,0.0,609.0,154.0,7.0,39.2,0.0,754.6,78.4,0.0
2025-07-27 00:00:00,345.6,46.93,64.0,0.0,0.0,122.55,2.72,0.0,25.21,0.0,120.24,85.33,2.91,0.0,0.0,64.0,0.0,597.33,163.56,7.11,42.67,0.0,832.0,85.33,0.0
2025-08-03 00:00:00,345.33,45.22,45.22,0.0,0.0,134.55,2.69,0.0,30.36,0.0,123.33,117.64,2.85,0.0,0.0,71.15,0.0,584.6,192.4,7.4,52.86,0.0,898.57,84.57,0.0
2025-08-10 00:00:00,382.33,49.33,32.89,4.11,0.0,125.13,4.04,0.0,30.36,0.0,123.33,149.9,2.85,0.0,0.0,74.0,0.0,643.8,199.8,7.4,42.29,0.0,930.29,84.57,0.0
2025-08-17 00:00:00,387.5,50.0,37.5,0.0,0.0,119.2,2.68,0.0,30.77,0.0,130.77,153.85,2.78,0.0,0.0,75.0,0.0,667.5,217.5,7.5,53.57,0.0,975.0,96.43,0.0
2025-08-24 00:00:00,351.33,45.47,103.33,0.0,0.0,119.96,2.7,0.0,31.0,0.0,131.75,131.75,2.82,0.0,0.0,73.27,0.0,720.75,193.75,7.75,41.33,0.0,878.33,82.67,0.0
2025-08-31 00:00:00,372.71,50.82,38.12,4.24,0.0,114.67,2.67,0.0,28.42,0.0,128.84,136.42,2.88,0.0,0.0,74.88,0.0,662.4,172.8,7.2,41.14,0.0,905.14,92.57,0.0
2025-09-07 00:00:00,388.41,50.12,346.65,4.18,0.0,113.33,2.73,0.0,30.7,0.0,118.97,126.65,2.84,0.0,0.0,76.68,0.0,575.1,163.3,7.1,40.57,0.0,852.0,91.29,0.0
2025-09-14 00:00:00,357.5,52.81,85.31,4.06,0.0,109.69,2.71,0.0,28.68,0.0,116.62,114.71,2.83,0.0,0.0,70.65,0.0,671.67,180.56,7.22,43.33,0.0,920.83,97.5,0.0
2025-09-21 00:00:00,368.5,50.25,50.25,4.19,0.0,107.2,2.68,0.0,28.71,0.0,112.94,114.86,2.79,0.0,0.0,72.58,0.0,670.0,223.33,7.44,44.67,0.0,971.5,100.5,0.0
2025-09-28 00:00:00,395.83,50.0,50.0,0.0,0.0,112.5,2.68,0.0,30.77,0.0,123.08,121.15,2.88,0.0,0.0,72.12,0.0,660.0,240.0,7.5,42.86,0.0,900.0,96.43,0.0
2025-10-05 00:00:00,379.73,51.2,34.13,0.0,0.0,108.94,2.72,0.0,29.09,0.0,122.18,110.55,2.91,0.0,0.0,72.73,0.0,583.11,177.78,7.11,42.67,0.0,864.0,96.0,0.0
2025-10-12 00:00:00,378.0,58.8,29.4,0.0,0.0,111.26,2.68,0.0,28.64,0.0,120.27,106.91,2.86,0.0,0.0,71.59,0.0,546.0,203.0,7.0,42.0,0.0,850.5,94.5,0.0
2025-10-19 00:00:00,370.59,57.65,32.94,4.12,0.0,111.73,2.69,0.0,30.27,0.0,119.19,107.84,2.8,0.0,0.0,70.0,0.0,609.0,252.0,7.0,40.0,0.0,840.0,90.0,0.0
2025-10-26 00:00:00,372.86,45.57,29.0,0.0,0.0,106.56,2.7,0.0,29.0,0.0,125.67,104.4,2.9,0.0,0.0,69.6,0.0,587.25,297.25,7.25,46.4,0.0,928.0,104.4,0.0
2025-11-02 00:00:00,375.07,50.57,33.71,0.0,0.0,107.27,2.68,0.0,28.55,0.0,121.81,114.19,2.81,0.0,0.0,67.43,0.0,678.5,177.0,7.38,39.33,0.0,826.0,98.33,0.0
2025-11-09 00:00:00,386.33,52.87,32.53,4.07,0.0,108.74,2.65,0.0,28.59,0.0,127.72,116.28,2.77,0.0,0.0,72.09,0.0,701.5,175.38,7.62,40.67,0.0,833.67,101.67,0.0
2025-11-16 00:00:00,418.75,50.25,37.69,4.19,0.0,108.02,2.73,0.0,30.63,0.0,124.43,122.51,2.91,0.0,0.0,75.74,0.0,655.11,171.22,7.44,44.67,0.0,1027.33,111.67,0.0
2025-11-23 00:00:00,390.0,49.26,45.16,4.11,0.0,112.97,2.69,0.0,32.34,0.0,125.56,117.95,2.79,0.0,0.0,78.0,0.0,709.09,212.73,7.09,55.71,0.0,969.43,122.57,0.0
2025-11-30 00:00:00,401.86,49.71,33.14,4.14,0.0,112.43,2.68,0.0,32.15,0.0,132.39,126.72,2.81,0.0,0.0,81.39,0.0,638.0,217.5,7.25,54.38,0.0,1087.5,130.5,0.0
2025-12-07 00:00:00,418.5,54.95,42.27,4.23,0.0,115.91,2.7,0.0,31.0,0.0,135.62,133.69,2.82,0.0,0.0,73.27,0.0,586.62,228.92,7.15,51.67,0.0,940.33,124.0,0.0
2025-12-14 00:00:00,396.26,63.91,127.83,4.26,0.0,118.42,5.44,0.0,30.75,0.0,132.59,130.67,2.88,0.0,0.0,72.06,0.0,610.62,256.31,7.54,54.44,0.0,1023.56,141.56,0.0
2025-12-21 00:00:00,381.14,58.0,37.29,4.14,0.0,131.86,4.08,0.0,29.0,0.0,152.73,94.73,2.81,0.0,0.0,61.74,0.0,565.5,166.75,7.25,54.38,0.0,924.38,130.5,0.0
2025-12-28 00:00:00,365.0,64.41,34.35,0.0,0.0,131.13,2.7,0.0,26.89,0.0,161.37,90.29,2.81,0.0,0.0,58.96,0.0,525.6,167.9,7.3,52.14,0.0,823.86,125.14,0.0
2026-01-04 00:00:00,352.6,53.3,32.8,4.1,0.0,119.64,4.03,0.0,28.6,0.0,135.4,112.51,2.83,0.0,0.0,65.03,0.0,611.27,156.55,7.45,41.0,0.0,809.75,112.75,0.0
2026-01-11 00:00:00,393.09,54.36,33.45,4.18,0.0,128.53,4.06,0.0,30.67,0.0,138.0,130.33,2.88,0.0,0.0,66.12,0.0,628.67,291.33,7.67,51.11,0.0,879.11,102.22,0.0
2026-01-18 00:00:00,377.14,58.67,33.52,4.19,0.0,125.91,4.06,0.0,30.61,0.0,137.74,132.0,2.84,0.0,0.0,65.29,0.0,630.67,168.67,7.33,55.0,0.0,891.0,110.0,0.0
2026-01-25 00:00:00,391.67,62.5,33.33,4.17,0.0,122.97,4.05,0.0,30.77,0.0,138.46,144.23,2.86,0.0,0.0,77.14,0.0,650.0,171.43,7.14,55.56,0.0,977.78,122.22,0.0
2026-02-01 00:00:00,383.83,57.17,32.67,4.08,0.0,120.82,4.03,0.0,36.51,0.0,124.9,192.16,2.8,0.0,0.0,95.2,0.0,655.85,211.08,7.54,54.44,0.0,1067.11,119.78,0.0
2026-02-08 00:00:00,374.21,58.21,45.74,4.16,0.0,117.83,4.02,0.0,36.61,0.0,117.54,144.51,2.82,0.0,0.0,265.21,0.0,703.82,193.91,7.18,56.43,0.0,1027.0,135.43,0.0
2026-02-15 00:00:00,375.47,55.47,38.4,4.27,0.0,119.83,2.72,0.0,36.85,0.0,116.36,133.82,2.91,0.0,0.0,290.91,0.0,704.0,199.11,7.11,53.33,0.0,970.67,117.33,0.0
2026-02-22 00:00:00,346.92,55.0,33.85,4.23,0.0,105.98,4.02,0.0,30.34,0.0,111.9,130.86,2.89,0.0,0.0,167.89,0.0,570.62,151.25,6.88,44.0,0.0,836.0,110.0,0.0
