AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,ScrapingError,Developers,IsFullyProcessed,Publishers,ReleaseInfo
1374860,Nocturne,6170,"Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing","Indie, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",Action,,True,Nocturne,"30 Jun, 2026",2026-06-30T00:00:00,,0,0,,Pracy Studios,True,Pracy Studios,"{'original_release_date': 'May 08, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1297900,Gothic 1 Remake,106364,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Family Sharing",Role-playing (RPG),"Fantasy, Open world","atmospheric, dark fantasy, exploration, magic, medieval, story rich",True,Gothic 1 Remake,"5 Jun, 2026",2026-06-05T00:00:00,https://www.youtube.com/watch?v=u2lQjmmW1B0,75636,3163,,Alkimia Interactive,True,THQ Nordic,"{'original_release_date': 'Jun 05, 2026', 'original_platforms': ['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
3483510,The Adventures of Elliot: The Millennium Tales,10001,"Action, Adventure, RPG","Single-player, Multi-player, Steam Achievements, Full controller support, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Steam Cloud, Family Sharing","Adventure, Role-playing (RPG)","Action, Fantasy",hd2d,True,The Adventures of Elliot: The Millennium Tales,"18 Jun, 2026",2026-06-18T00:00:00,https://www.youtube.com/watch?v=u-zycj_tJgo,409036,11600,,"Square Enix, Claytechworks",True,Square Enix,"{'original_release_date': 'Jun 18, 2026', 'original_platforms': ['Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
2004680,Voidling Bound,19140,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Steam Cloud, Stats, Family Sharing","Adventure, Role-playing (RPG)","Action, Science fiction",,True,Voidling Bound,"9 Jun, 2026",2026-06-09T00:00:00,https://www.youtube.com/watch?v=JnvM3HF7cHk,3897,220,,Hatchery Games,True,Hatchery Games,"{'original_release_date': 'Jun 09, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2524850,Denshattack!,11807,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Platform, Racing, Sport",Action,nextfest february 2026,True,,"Jun 17, 2026",2026-06-17T00:00:00,https://www.youtube.com/watch?v=o_Xmv9eAIZA,131365,9397,,Undercoders,True,"Fireshine Games, Boltray Games","{'original_release_date': 'Jun 17, 2026', 'original_platforms': ['Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
3759220,Pawsome Resort,2251,"Adventure, Casual, Indie, RPG, Simulation, Early Access","Single-player, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Role-playing (RPG), Simulator",Business,"agriculture, business simulation, cozy, crafting, cute, farming, farming simulator, life simulation, pixel graphics, relaxing, stylized",True,,"24 Jun, 2026",2026-06-24T00:00:00,https://www.youtube.com/watch?v=f8InsH-ZNuE,186,5,,Pixel Puffs,True,Pixel Puffs,"{'original_release_date': 'Jun 24, 2026', 'original_platforms': ['Mac', 'PC (Microsoft Windows)'], 'ports': []}"
4144680,DEAD OR ALIVE 6 Last Round,3565,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, In-App Purchases, Keyboard Only Option, Steam Leaderboards, Family Sharing",Fighting,Action,"accessibility options, keyboard only option, steam achievements",True,DEAD OR ALIVE 6 Last Round,"24 Jun, 2026",2026-06-24T00:00:00,https://www.youtube.com/watch?v=VRvKpCznyJI,130356,5549,,"KOEI TECMO GAMES CO., LTD.",True,"KOEI TECMO GAMES CO., LTD.","{'original_release_date': 'Jun 25, 2026', 'original_platforms': ['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
1944040,goblinAmerica,1769,"Action, Indie","Single-player, Family Sharing","Indie, Platform, Shooter","Action, Fantasy, Science fiction","exploration, goblin, metroidvania, speedrun, stylish action, unlockables",True,goblinAmerica,"17 Jun, 2026",2026-06-17T00:00:00,https://www.youtube.com/watch?v=P1FSIreQ3s0,4998,131,,Gil Lawson,True,Gil Lawson,"{'original_release_date': 'Jun 17, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2022640,CALX,1685,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Family Sharing",Adventure,"Action, Science fiction",nextfest february 2026,True,XTAL,"4 Jun, 2026",2026-06-04T00:00:00,https://www.youtube.com/watch?v=93X-yZEIcqI,2786,88,,True Colors,True,Dear Villagers,"{'original_release_date': 'Oct 08, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': [{'platform': 'Nintendo Switch', 'release_date': '2026'}, {'platform': 'PlayStation 5', 'release_date': '2026'}, {'platform': 'Xbox Series X|S', 'release_date': '2026'}]}"
3857430,Interdimensional Vending Machine,1785,Indie,"Single-player, Family Sharing",Indie,Horror,nextfest february 2026,True,,"17 Jun, 2026",2026-06-17T00:00:00,,0,0,,NEUROTICFLY GAMES,True,"NEUROTICFLY GAMES, HoruBrain","{'original_release_date': 'Q3 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
