Game Title,Category,Release Date,1,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus,Unnamed: 14
Starship Troopers: Ultimate Bug War!,Main Game,3/16/2026,Auroch Digital,DotEmu,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Shooter, Adventure, Indie, Arcade","Action, Science fiction","steam achievements, subtitled silence, adjustable difficulty, accessibility options, fmv, save anytime, playable without timed input, stereo sound, custom volume controls, camera comfort, nextfest february 2026",https://www.youtube.com/watch?v=Y_cSUPKOOGs,11585,197,3/16/2026,PC Game (on Steam),
The Seven Deadly Sins: Origin,Main Game,3/16/2026,Netmarble F&C,Netmarble,"Android, PC (Microsoft Windows), iOS, PlayStation 5","Role-playing (RPG), Adventure","Action, Fantasy, Open world",,https://www.youtube.com/watch?v=D4I3iia76NA,100953,3131,2/24/2026,PC Game (on Steam),
Checkmate Survivors,Main Game,3/16/2026,RainForest Games,"RainForest Games, y-zo studio","Xbox Series X|S, PlayStation 4, PlayStation 5","Shooter, Strategy",Kids,,https://www.youtube.com/watch?v=QnkDR1DnJSs,22,1,3/15/2026,Console / Other,
Grind Survivors,Main Game,3/16/2026,Pushka Studios,Assemble Entertainment,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Indie,Action,"accessibility options, playable without timed input, custom volume controls",https://www.youtube.com/watch?v=oNvW3_3WOe8,4699,55,3/16/2026,PC Game (on Steam),
Dragonkin: The Banished,Main Game,3/16/2026,EKO Software,Nacon,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","Action, Fantasy","dark fantasy, dungeon crawling, steam achievements, xbox controller support for pc, steam cloud, controller support, steam remote play",https://www.youtube.com/watch?v=9tT30t0TURI,24629,190,3/16/2026,PC Game (on Steam),
Royal Revolt Survivors,Main Game,3/16/2026,Team Warriors,Headup Games,"Linux, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Adventure, Indie, Arcade",Action,"shared screen, roguelite, action roguelike",https://www.youtube.com/watch?v=-N8uqHNJ7zM,297,12,7/25/2025,PC Game (on Steam),
MLB The Show 26,Main Game,3/17/2026,SIE San Diego Studio,Sony Interactive Entertainment,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Simulator, Sport",,,https://www.youtube.com/watch?v=xfsvi2X37z8,3571883,550,1/27/2026,Non-Steam PC Game,
Emotionless: The Last Ticket,Main Game,3/17/2026,X1 Games,X1 Games,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Simulator, Adventure","Horror, Mystery","amusement park, multiple endings, walking simulator, atmospheric, cosmic horror, steam cloud, liminal space, nextfest june 2025",https://www.youtube.com/watch?v=4t4pg2UtDmk,354,3,1/30/2026,Console / Other,
Thomas & Friends: Wonders of Sodor,Main Game,3/17/2026,Dovetail Games,Dovetail Games,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Simulator, Adventure","Sandbox, Kids, Open world","train simulator, accessibility options, thomas the tank, subtitles, playable without timed input, custom volume controls, stero sound",https://www.youtube.com/watch?v=6uxh5at-VWU,54107,2525,3/17/2026,PC Game (on Steam),
Dread Delusion,Main Game,3/17/2026,Lovely Hellplace,DreadXP,"Xbox Series X|S, PlayStation 4, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Xbox One","Role-playing (RPG), Adventure, Indie","Action, Fantasy, Horror, Open world","retro, magic, 3d, ps1 inspired, low-poly, polygonal 3d, arpg",https://www.youtube.com/watch?v=gUoDrs7nN_M,9236,257,6/15/2022,Console / Other,
Overthrown,Main Game,3/18/2026,,Maximum Entertainment,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Platform, Simulator, Strategy, Indie","Fantasy, Business, Sandbox","management, city builder",https://www.youtube.com/watch?v=OdrKvRtzYy4,8736,51,9/15/2025,PC Game (on Steam),
Goritaire,Main Game,3/18/2026,Arc System Works,Arc System Works,"PlayStation 4, Android, PC (Microsoft Windows), iOS, PlayStation 5, Nintendo Switch",Card & Board Game,,solitaire,,,,,PC Game (on Steam),
Crimson Desert,Main Game,3/19/2026,Pearl Abyss,Pearl Abyss,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Mac",Adventure,"Action, Fantasy, Open world",,,,,,PC Game (on Steam),
Rushing Beat X: Return of Brawl Brothers,Main Game,3/19/2026,City Connection,"Clear River Games, City Connection","Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Fighting, Hack and slash/Beat 'em up, Arcade",Action,"controller required, nextfest june 2025",https://www.youtube.com/watch?v=BoYXzYmGD1s,4586,147,11/12/2025,PC Game (on Steam),
