Game Title,Category,Release Date,Developers,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus,date_appended
Lunar Strike,Main Game,2026-05-01,,,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Adventure,,"accessibility options, save anytime, stereo sound",https://www.youtube.com/watch?v=QqGbXMsGQbk,4172.0,60.0,2025-12-04,PC Game (on Steam),
Constance,Main Game,2026-05-01,btf,btf,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Platform, Adventure, Indie",Action,"mental health, steam achievements, precision platforming",https://www.youtube.com/watch?v=jU75c3Fw0gs,442.0,14.0,2026-02-10,Console / Other,
The Love's Ordeal,Main Game,2026-05-01,,,"PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Simulator, Indie",,dating simulation,,,,,Console / Other,
This is Fine: Maximum Cope,Main Game,2026-05-01,Hero Concept,Numskull Games,"PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Platform, Puzzle, Adventure, Indie",,based on - memes,https://www.youtube.com/watch?v=6cJ1j33MptY,3488.0,182.0,2026-05-01,PC Game (on Steam),
Demon Huntress,Main Game,2026-05-01,,EpiXR Games,"PlayStation 5, Nintendo Switch","Shooter, Arcade",Action,,,,,,Console / Other,
Bright Lights of Svetlov,Main Game,2026-05-01,,,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Point-and-click, Puzzle, Simulator, Adventure, Indie",Historical,,,,,,Console / Other,
Mash Motion: Sprint Rush,Main Game,2026-05-03,chroda.eu,chroda.eu,PlayStation 5,"Racing, Arcade",Action,,,,,,Console / Other,
Solar Machina,Main Game,2026-05-04,2dragontails,"2dragontails, y-zo studio","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One",Platform,,,https://www.youtube.com/watch?v=o6erK-3oTuM,19.0,2.0,2026-05-03,Console / Other,
Axe Cop,Main Game,2026-05-04,Red Triangle Games,Electric Airship,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure, Indie","Action, Comedy",,https://www.youtube.com/watch?v=W_i7uC9x5WE,5445.0,78.0,2026-04-22,Console / Other,
GreedFall: The Dying World - Peren's Black Mass,Unknown,2026-05-04,,,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",,,,https://www.youtube.com/watch?v=ALOIBR8__eg,763.0,24.0,2026-05-07,Non-Steam PC Game,
Wax Heads,Main Game,2026-05-05,Patattie Games,Patattie Games,"Xbox Series X|S, Linux, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Point-and-click, Puzzle, Simulator, Adventure, Indie",Comedy,"narrative-driven, narrative adventure, musical themes",https://www.youtube.com/watch?v=AuAmDJONDPY,188462.0,163.0,2026-05-05,PC Game (on Steam),
Motorslice,Main Game,2026-05-05,Regular Studio,Top Hat Studios,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Adventure, Indie","Action, Science fiction","parkour, female protagonist, action-adventure",https://www.youtube.com/watch?v=Jbmr91JH3YU,2392.0,212.0,2026-05-05,PC Game (on Steam),
Ball X Pit: The Shadow Update,Unknown,2026-05-05,,Devolver Digital,"Xbox Series X|S, Nintendo Switch 2, Android, PC (Microsoft Windows), iOS, PlayStation 5",,,,https://www.youtube.com/watch?v=iz4xGdEQcwc,25322.0,831.0,2026-04-27,Non-Steam PC Game,
Zenless Zone Zero: Update 2.8 - New Eridan Sunset,Unknown,2026-05-06,HoYoverse,HoYoverse,"Xbox Series X|S, Android, PC (Microsoft Windows), iOS, PlayStation 5","Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",Action,,,,,,Non-Steam PC Game,
Will: Follow the Light,Main Game,2026-05-07,TomorrowHead Studio,TomorrowHead Studio,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Adventure, Indie","Drama, Mystery","walking simulator, atmospheric, story rich",https://www.youtube.com/watch?v=I7Scpm5vRIU,1512.0,64.0,2026-05-07,PC Game (on Steam),
Mote: The Manuscript,Main Game,2026-05-07,CraePlay,GGmuks Inc.,"PlayStation 4, PlayStation 5","Puzzle, Simulator, Adventure",Drama,walking simulator,,,,,Console / Other,
Froggy Hates Snow,Main Game,2026-05-07,,,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Strategy, Indie",Action,,https://www.youtube.com/watch?v=7BOBLvtWAKI,1045.0,8.0,2026-04-27,PC Game (on Steam),
Sunset Motel,Main Game,2026-05-07,,,"PC (Microsoft Windows), PlayStation 5",Simulator,Action,,,,,,Console / Other,
Mixtape,Main Game,2026-05-07,Beethoven & Dinosaur,Annapurna Interactive,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Music, Adventure, Indie",,,https://www.youtube.com/watch?v=NlAtjWvuVzY,38256.0,855.0,2026-03-03,PC Game (on Steam),
Haneda Girl,Main Game,2026-05-07,Studio Koba,"Studio Koba, Aeternum Game Studios","PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Shooter, Platform, Adventure, Indie, Arcade",Action,"female protagonist, stylized, score attack, synthwave, controller support, replayability, steam families, nextfest february 2025",https://www.youtube.com/watch?v=KdQdMxcSp_8,6916.0,217.0,2025-05-23,Console / Other,
Hydroneer,Main Game,2026-05-08,Foulball Hangover,Foulball Hangover,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Xbox One","Simulator, Strategy, Adventure, Indie","Fantasy, Sandbox, Open world","casual, 3d, fishing, crafting, resource management, cooking, driving, farming, forest, achievements, building, steam trading cards, upgrade, snow, base building, mining, day/night cycle, upgradable equipment, family friendly, explosion, steam achievements, xbox controller support for pc, steam cloud, split-screen multiplayer, steam workshop, voice acting, shopping, explosives, resource gathering, crab, nuclear bomb, blacksmith, remote play, automation, controller support, vehicles, gems, islands, wagon, underground, organization, decoration, food, beach, bombs, coins, decorate, ocean, digging, buy and sell, lava, fish, axe, steam families, junkyard, money, casual game, cloud saves, planting, anvil, upgrades, gold, repair, explosive, cave, knife",https://www.youtube.com/watch?v=AzpivnHsizs,1079.0,9.0,2026-03-02,Console / Other,
Super Adventure Hand,Main Game,2026-05-08,DEVM Games,"DEVM Games, Upscale Studio","Xbox Series X|S, PlayStation 4, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Platform, Puzzle, Indie, Arcade","Action, Fantasy, Horror, Comedy","physics, combat, transhumanism",https://www.youtube.com/watch?v=wFCefAJgb1o,17198.0,246.0,2023-06-07,Console / Other,
Meow and the Diamond Jump,Main Game,2026-05-11,Yume Game Studio,"y-zo studio, Yume Game Studio","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One",Platform,"Action, Kids",,https://www.youtube.com/watch?v=aWcLBpXZaPA,1.0,0.0,2026-05-10,Console / Other,
