AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,ScrapingError,Developers,IsFullyProcessed,Publishers,ReleaseInfo
1609270,?????: ????????? ~ Touhou Koi-Mystery: Legend and Fantasy of Monsters,1716,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Save Anytime, Subtitle Options, Steam Cloud, Family Sharing","Adventure, Indie, Strategy",,,True,東方恋迷跡: 妖怪伝説と幻想の旅 ~ Touhou Koi-Mystery: Legend and Fantasy of Monsters,"14 May, 2026",2026-05-14T00:00:00,,0,0,,地霊研究院,True,"地霊研究院, ZRIGN",{}
3989810,FUTA FUCKS FEMBOYS,3739,"Adventure, Indie, RPG","Single-player, Steam Achievements, Custom Volume Controls, Adjustable Difficulty, Save Anytime, Family Sharing","Adventure, Card & Board Game, Indie, Role-playing (RPG), Simulator, Visual Novel",Erotic,"2d, adult, adult content, casual, dating sim, deck-building, nextfest february 2026, nsfw, nudity, steam achievements",True,,"1 May, 2026",2026-05-01T00:00:00,,0,0,,Horny Capybara Studio,True,Horny Capybara Studio,"{'original_release_date': 'May 15, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2215200,LEGO® Batman?: Legacy of the Dark Knight,36395,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Puzzle","Action, Comedy",,True,LEGO Batman: Legacy of the Dark Knight,"May 29, 2026",2026-05-29T00:00:00,https://www.youtube.com/watch?v=1hQAoGj01Rc,1042476,45070,,TT Games,True,"Warner Bros. Games, Warner Bros. Interactive Entertainment","{'original_release_date': 'May 19, 2026', 'original_platforms': ['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': [{'platform': 'PC (Microsoft Windows)', 'release_date': 'May 22, 2026'}, {'platform': 'PlayStation 5', 'release_date': 'May 22, 2026'}, {'platform': 'Xbox Series X|S', 'release_date': 'May 22, 2026'}]}"
2827820,The Relic: First Guardian,6378,"Action, Adventure, RPG","Single-player, Full controller support, Family Sharing","Adventure, Indie, Role-playing (RPG)","Action, Open world",soulslike,True,The Relic: First Guardian,"26 May, 2026",2026-05-26T00:00:00,https://www.youtube.com/watch?v=BSYFw14cGrI,34724,506,,Project Cloud Games,True,Perp Games,"{'original_release_date': 'Q3 2026', 'original_platforms': ['Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
2091020,Blades of Fire,3306,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Family Sharing","Role-playing (RPG), Strategy","Action, Historical, Sandbox",previously on - gametap,True,,"14 May, 2026",2026-05-14T00:00:00,https://www.youtube.com/watch?v=45xb4aAFumg,121351,398,,MercurySteam,True,505 Games,"{'original_release_date': 'May 03, 2011', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': [{'platform': 'PC (Microsoft Windows)', 'release_date': 'Sep 30, 2011'}]}"
2397510,Corsairs - Battle of the Caribbean,3600,Strategy,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Family Sharing","Adventure, Strategy",Action,,True,,"18 May, 2026",2026-05-18T00:00:00,https://www.youtube.com/watch?v=Jb2NncqiF2E,292,2,,Fishing Cactus,True,Microids,"{'original_release_date': 'May 18, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2483190,Forza Horizon 6,215509,"Racing, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing","Arcade, Racing, Simulator, Sport","Action, Open world","automobile sim, racing sim, semi open world",True,,"18 May, 2026",2026-05-18T00:00:00,https://www.youtube.com/watch?v=VXedKqX5Wa4,1182560,50883,,Playground Games,True,Xbox Game Studios,"{'original_release_date': 'May 15, 2026', 'original_platforms': ['PC (Microsoft Windows)', 'Xbox Series X|S'], 'ports': [{'platform': 'PC (Microsoft Windows)', 'release_date': 'May 19, 2026'}, {'platform': 'Xbox Series X|S', 'release_date': 'May 19, 2026'}, {'platform': 'PlayStation 5', 'release_date': '2026'}]}"
2982610,Stonemachia,4208,"Action, Adventure, Indie","Single-player, Full controller support, Family Sharing","Adventure, Fighting, Indie","Action, Fantasy",soulslike,True,Stonemachia,"26 May, 2026",2026-05-26T00:00:00,https://www.youtube.com/watch?v=b1UTqNoURNQ,619,26,,Crossfall Games,True,Crossfall Games,"{'original_release_date': 'May 26, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3237970,Bubsy 4D,4141,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Camera Comfort, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Touch Only Option, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing","Adventure, Indie, Platform",Action,"3d platform, animal protagonist",True,,"22 May, 2026",2026-05-22T00:00:00,https://www.youtube.com/watch?v=H4bq6P8e5gk,869363,48624,,Fabraz,True,Atari,"{'original_release_date': 'May 22, 2026', 'original_platforms': ['Nintendo Switch', 'Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X|S'], 'ports': []}"
2090390,Schrödinger's Call,3601,"Adventure, Indie","Single-player, Full controller support, Steam Cloud, Family Sharing",,,,True,Schrödinger's Call,"27 May, 2026",2026-05-27T00:00:00,,0,0,,Acrobatic Chirimenjako,True,SHUEISHA GAMES,{}
2582320,Mixtape,15499,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Music",,,True,Mixtape,"7 May, 2026",2026-05-07T00:00:00,https://www.youtube.com/watch?v=cCTH8R6RD74,183088,7771,,Beethoven and Dinosaur,True,Annapurna Interactive,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
