,Date Purchased,Physical,Digital,Platform,Account,Inactive,On Hold,Active,Reviewed,Links
,,,,,,,,,,
Marvel Rivals,Free To Play,FALSE,TRUE,PC (Steam),Full access,FALSE,FALSE,TRUE,FALSE,
Path of Exile 2,18/12/2024,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/path_of_exile_2_review/
The Stone of Madness,15/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,FALSE,
Hyper Light Drifter,15/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Hyper Light Breaker,15/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/hyper-light-breaker-review/
FREEDOM WARS Remastered,16/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/freedom-wars-remastered/
DYNASTY WARRIORS: ORIGINS,16/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Palworld,20/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
HELLDIVERS 2,20/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Black Myth: Wukong,20/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/black-myth-wukong-review/
Orcs Must Die! Deathtrap,31/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Kingdom Come: Deliverance II,31/1/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,FALSE,
Split Fiction,28/2/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,FALSE,
Sid Meier's Civilization VII,28/2/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/sid-meiers-civilization-vii-review/
Monster Hunter Wilds,28/2/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Lost Records: Bloom & Rage,28/2/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
The Legend of Heroes: Trails through Daybreak II,28/2/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Atomfall,28/2/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Wanderstop,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Schedule I,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
R.E.P.O.,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/r-e-p-o/
inZOI,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Grimoire Groves,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Crashlands,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Crashlands 2,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Mandragora: Whispers of the Witch Tree,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/mandragora-whispers-of-the-witch-tree/
Clair Obscur: Expedition 33,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,FALSE,TRUE,https://gamyverse.com/reviews/clair-obscur-expedition-33/
Assassin's Creed Shadows,14/4/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,
Diddy Kong Racing,14/4/2025,TRUE,FALSE,Nintendo 64,Office,TRUE,FALSE,FALSE,FALSE,https://gamyverse.com/retro-games/diddy-kong-racing/
Donkey Kong Country™ Returns HD,14/4/2025,TRUE,FALSE,Nintendo Switch,Office,TRUE,FALSE,FALSE,FALSE,
"Yes, Your Grace: Snowfall",16/5/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/yes-your-grace-2-snowfall/
Survival Machine,16/5/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/?post_type=reviews&p=21969&preview=true
