,S.NO,Game Name,Date Purchased,Physical,Digital,Platform,Account,Inactive,On Hold,Active,Reviewed,Desktop,Tablet,Mobile,Bricks,Word,Figma,Price,steam_appid
0,0,Marvel Rivals,Free To Play,False,True,PC (Steam),Full access,False,False,True,True,True,False,True,Bricks Link,,,Free,2767030.0
1,1,Path of Exile 2,18/12/2024,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,False,False,False,Bricks Link,,,"27,75€",2694490.0
2,2,The Stone of Madness,15/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,True,False,True,Bricks Link,,,"26,09€",1309710.0
3,3,Hyper Light Drifter,15/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,False,False,False,,,,"26,09€",257850.0
4,4,Hyper Light Breaker,15/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,False,False,False,Bricks Link,,,Free,1534840.0
5,5,FREEDOM WARS Remastered,16/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,False,False,False,Bricks Link,,,"39,99€",3004100.0
6,6,DYNASTY WARRIORS: ORIGINS,16/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,False,False,False,,,,"79,99€",2384580.0
7,7,Palworld,20/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,False,False,False,,,,"28,99€",1623730.0
8,8,HELLDIVERS 2,20/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,False,False,False,,,,"39,99€",553850.0
9,9,Black Myth: Wukong,20/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,False,False,False,Bricks Link,,,"59,99€",2358720.0
10,10,Orcs Must Die! Deathtrap,31/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,False,False,False,False,Bricks Link,,,"28,99€",2273980.0
11,12,Kingdom Come: Deliverance II,31/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,True,False,True,Bricks Link,,,"59,99€",1771300.0
